X,Y,Time
1195,600,80520.05500000017
1099,667,80539.27500000037
1099,667,80558.51000000071
1121,572,80575.17500000028
1121,572,80592.63500000024
1179,711,80608.02500000037
1267,509,80622.76000000024
1197,566,80639.62000000011
1197,566,80659.66000000061
1343,567,80678.31000000052
1343,567,80694.47500000056
1206,633,80710.73500000034
1258,519,80729.86000000034
1209,501,80745.46500000032
1209,501,80760.71500000032
1308,407,80777.8500000001
1295,414,80792.99000000022
1134,682,80808.39500000048
1134,682,80823.40500000026
1140,606,80839.1950000003
1149,547,80854.48500000034
1216,550,80870.13500000024
1216,550,80887.99500000011
1312,477,80904.14500000002
1312,477,80919.49000000022
1294,451,80935.27000000002
1154,472,80954.45500000007
1154,472,80970.42000000039
1187,584,80986.98000000045
1187,584,81002.30500000017
1153,509,81020.20500000054
1263,503,81035.79500000039
1263,503,81058.73000000045
1226,539,81076.66999999993
1226,539,81098.25499999989
1194,440,81115.17500000028
1106,663,81132.80500000063
1106,663,81150.98500000034
1168,670,81170.10000000056
1168,670,81188.4450000003
1130,565,81207.80500000017
1155,475,81226.23000000045
1179,515,81252.65500000026
1144,572,81271.5700000003
1144,572,81287.27000000048
1144,572,81302.39500000048
1144,549,81319.41000000015
1144,549,81335.04000000004
1091,574,81352.57500000019
1140,577,81368.61000000034
1005,625,81385.63000000035
1027,548,81410.14000000013
1027,548,81425.67500000028
1092,562,81443.24000000022
1092,562,81462.45500000054
1143,551,81481.05000000075
1143,551,81499.46500000032
1145,508,81515.73000000045
1051,540,81532.15000000037
1051,540,81547.71000000043
1117,607,81563.83000000007
1117,607,81578.57500000019
1117,607,81594.48500000034
1060,590,81610.03500000061
1060,590,81625.75000000047
1007,552,81642.0950000002
1007,552,81657.875
998,684,81673.31000000052
1109,590,81689.15500000026
1109,590,81704.18999999994
1013,638,81720.69000000041
1013,638,81736.41000000015
1122,560,81753.61500000022
1122,560,81768.83000000007
1155,541,81791.8200000003
1093,563,81810.34500000067
1093,563,81824.81000000052
1263,513,81842.0700000003
1263,513,81857.99000000022
1076,468,81873.15500000026
1076,468,81888.98500000034
1144,408,81905.18000000063
1153,465,81920.6650000005
1073,593,81936.76500000013
1057,680,81953.26500000013
1154,611,81969.01000000071
1154,611,81984.80000000028
1098,594,82001.34000000032
1100,504,82018.62000000058
1100,504,82034.45500000007
1141,524,82055.64500000002
1141,524,82071.57500000019
1079,506,82087.75500000035
1079,506,82103.26000000071
